trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,FALSE,"{'a': 0.5, 'e': 0.9184732224159483}",20,0,-86.38556116,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
86,FALSE,"{'a': 0.5, 'e': 0.9175547491935324}",20,0,-79.74430064,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
87,FALSE,"{'a': 0.5, 'e': 0.9166371944443389}",35,0,-26.91768956,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 0}",0
88,FALSE,"{'a': 0.5, 'e': 0.9157205572498945}",25,0,-65.72357473,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
89,FALSE,"{'a': 0.5, 'e': 0.9148048366926447}",20,0,-83.63437506,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
90,FALSE,"{'a': 0.5, 'e': 0.913890031855952}",20,0,-75.87025869,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
91,FALSE,"{'a': 0.5, 'e': 0.912976141824096}",30,0,-30.89675984,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
92,FALSE,"{'a': 0.5, 'e': 0.912063165682272}",20,0,-58.58200179,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
93,FALSE,"{'a': 0.5, 'e': 0.9111511025165897}",20,0,-96.82803652,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
94,FALSE,"{'a': 0.5, 'e': 0.9102399514140731}",20,0,-68.24603148,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
95,FALSE,"{'a': 0.5, 'e': 0.9093297114626591}",20,0,-56.60739113,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
96,FALSE,"{'a': 0.5, 'e': 0.9084203817511963}",20,0,-94.36891269,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
97,FALSE,"{'a': 0.5, 'e': 0.9075119613694451}",35,21,-13.2860842,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
98,FALSE,"{'a': 0.5, 'e': 0.9066044494080757}",25,20,8.956089479,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,FALSE,"{'a': 0.5, 'e': 0.9056978449586677}",20,3,-71.08006266,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 0}",1
100,FALSE,"{'a': 0.5, 'e': 0.9047921471137089}",30,2,-116.0663158,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 1}",1
101,FALSE,"{'a': 0.5, 'e': 0.9038873549665952}",30,0,-32.61446063,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
102,FALSE,"{'a': 0.5, 'e': 0.9029834676116286}",20,0,-58.86300543,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
103,FALSE,"{'a': 0.5, 'e': 0.902080484144017}",20,0,-49.60269458,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
104,FALSE,"{'a': 0.5, 'e': 0.901178403659873}",25,0,-69.597769,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
105,FALSE,"{'a': 0.5, 'e': 0.9002772252562131}",20,0,-26.32555238,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
106,FALSE,"{'a': 0.5, 'e': 0.8993769480309569}",25,10,-37.08064748,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
107,FALSE,"{'a': 0.5, 'e': 0.8984775710829259}",25,0,-66.81779963,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
108,FALSE,"{'a': 0.5, 'e': 0.8975790935118431}",25,0,-21.43430256,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
109,FALSE,"{'a': 0.5, 'e': 0.8966815144183312}",20,1,-30.50268026,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
