trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1720,False,"{'a': 0.5, 'e': 0.1789121145706697}",20,11,6.80796208813027,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1721,False,"{'a': 0.5, 'e': 0.17873320245609903}",20,2,-11.311480766183077,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
1722,False,"{'a': 0.5, 'e': 0.1785544692536429}",20,11,19.952526525830834,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1723,False,"{'a': 0.5, 'e': 0.17837591478438927}",20,8,21.564655087853396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1724,False,"{'a': 0.5, 'e': 0.17819753886960488}",30,8,38.010162868772134,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1725,False,"{'a': 0.5, 'e': 0.17801934133073527}",20,2,21.61999724914038,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1726,False,"{'a': 0.5, 'e': 0.17784132198940455}",20,12,16.709955851043016,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1727,False,"{'a': 0.5, 'e': 0.17766348066741514}",20,7,11.768198030764687,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1728,False,"{'a': 0.5, 'e': 0.17748581718674772}",20,14,10.859989099720494,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1729,False,"{'a': 0.5, 'e': 0.17730833136956098}",20,5,4.052159863175855,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1730,False,"{'a': 0.5, 'e': 0.17713102303819142}",20,1,17.094789226671683,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1731,False,"{'a': 0.5, 'e': 0.17695389201515324}",30,24,10.818333924885264,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1732,False,"{'a': 0.5, 'e': 0.17677693812313808}",20,8,13.049712802989681,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1733,False,"{'a': 0.5, 'e': 0.17660016118501493}",20,15,7.950052298430854,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1734,False,"{'a': 0.5, 'e': 0.17642356102382992}",30,22,4.56751632716468,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1735,False,"{'a': 0.5, 'e': 0.1762471374628061}",25,6,0.6232143512434867,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
1736,False,"{'a': 0.5, 'e': 0.1760708903253433}",20,8,25.413327682324912,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1737,False,"{'a': 0.5, 'e': 0.17589481943501795}",20,14,-1.1092487301210694,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1738,False,"{'a': 0.5, 'e': 0.17571892461558292}",25,16,13.688696813582922,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1739,False,"{'a': 0.5, 'e': 0.17554320569096735}",25,7,22.427394215451702,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1740,False,"{'a': 0.5, 'e': 0.17536766248527638}",25,15,7.887006463136787,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1741,False,"{'a': 0.5, 'e': 0.17519229482279108}",20,9,17.44595936613047,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1742,False,"{'a': 0.5, 'e': 0.1750171025279683}",30,14,18.58911314438621,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1743,False,"{'a': 0.5, 'e': 0.17484208542544033}",20,0,15.217850365825953,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1744,False,"{'a': 0.5, 'e': 0.17466724334001488}",25,0,19.361431891940715,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1745,False,"{'a': 0.5, 'e': 0.17449257609667487}",20,11,17.59733377549074,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1746,False,"{'a': 0.5, 'e': 0.1743180835205782}",20,0,33.29501329925855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1747,False,"{'a': 0.5, 'e': 0.17414376543705762}",30,3,46.88561317072778,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
1748,False,"{'a': 0.5, 'e': 0.17396962167162056}",25,8,28.767863546513357,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1749,False,"{'a': 0.5, 'e': 0.17379565204994896}",25,13,8.593904942094637,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1750,False,"{'a': 0.5, 'e': 0.173621856397899}",30,8,-10.786555935109325,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
1751,False,"{'a': 0.5, 'e': 0.1734482345415011}",30,14,28.547162566870174,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1752,False,"{'a': 0.5, 'e': 0.1732747863069596}",30,1,-1.4206224189617636,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 0}",1
1753,False,"{'a': 0.5, 'e': 0.17310151152065265}",20,11,15.958887638463251,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1754,False,"{'a': 0.5, 'e': 0.17292841000913198}",20,8,15.491286726613502,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1755,False,"{'a': 0.5, 'e': 0.17275548159912285}",25,14,-10.522036829628963,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
1756,False,"{'a': 0.5, 'e': 0.17258272611752373}",20,6,14.089315649838039,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1757,False,"{'a': 0.5, 'e': 0.1724101433914062}",20,14,-2.7113232589460354,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1758,False,"{'a': 0.5, 'e': 0.1722377332480148}",20,8,9.622880164296019,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1759,False,"{'a': 0.5, 'e': 0.1720654955147668}",20,8,8.374977240937177,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1760,False,"{'a': 0.5, 'e': 0.171893430019252}",20,0,22.082505063760344,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1761,False,"{'a': 0.5, 'e': 0.17172153658923275}",25,18,4.2349941971792004,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1762,False,"{'a': 0.5, 'e': 0.17154981505264352}",25,11,-0.49359111778689924,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
1763,False,"{'a': 0.5, 'e': 0.1713782652375909}",35,19,31.091968987814894,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1764,False,"{'a': 0.5, 'e': 0.17120688697235328}",20,3,16.806660383309453,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
1765,False,"{'a': 0.5, 'e': 0.17103568008538095}",30,16,23.40647687150006,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1766,False,"{'a': 0.5, 'e': 0.17086464440529556}",25,13,7.365912348159529,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1767,False,"{'a': 0.5, 'e': 0.17069377976089026}",25,7,16.25979578910127,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
1768,False,"{'a': 0.5, 'e': 0.1705230859811294}",20,6,13.431106644173719,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1769,False,"{'a': 0.5, 'e': 0.17035256289514825}",20,9,15.913538014482082,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1770,False,"{'a': 0.5, 'e': 0.1701822103322531}",20,12,10.254648524141784,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1771,False,"{'a': 0.5, 'e': 0.17001202812192084}",30,19,9.971197988778169,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1772,False,"{'a': 0.5, 'e': 0.16984201609379893}",25,16,16.776300006773745,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1773,False,"{'a': 0.5, 'e': 0.16967217407770513}",20,13,15.314300544075989,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1774,False,"{'a': 0.5, 'e': 0.16950250190362742}",25,13,15.327148017719763,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1775,False,"{'a': 0.5, 'e': 0.1693329994017238}",25,18,15.398166761100015,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1776,False,"{'a': 0.5, 'e': 0.16916366640232205}",20,8,20.15280304781839,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1777,False,"{'a': 0.5, 'e': 0.16899450273591973}",30,21,4.594756408927228,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1778,False,"{'a': 0.5, 'e': 0.16882550823318382}",20,12,17.64017379161596,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1779,False,"{'a': 0.5, 'e': 0.16865668272495063}",20,9,19.654673703703466,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1780,False,"{'a': 0.5, 'e': 0.16848802604222568}",20,0,33.110663538701864,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
